prompt_type,metric,model_1,model_2,kendall_tau,p_value,n_pairs
adversarial,DoR,claude_35_haiku,ds_v3,0.5530,0.0000,3375
adversarial,DoR,claude_35_haiku,gpt_41_nano,0.3604,0.0000,3375
adversarial,DoR,claude_35_haiku,gpt_4o_mini,,,3375
adversarial,DoR,claude_35_haiku,grok_3_mini_beta,0.4322,0.0000,3375
adversarial,DoR,ds_v3,gpt_41_nano,0.4618,0.0000,3375
adversarial,DoR,ds_v3,gpt_4o_mini,,,3375
adversarial,DoR,ds_v3,grok_3_mini_beta,0.4441,0.0000,3375
adversarial,DoR,gpt_41_nano,gpt_4o_mini,,,3375
adversarial,DoR,gpt_41_nano,grok_3_mini_beta,0.3350,0.0000,3375
adversarial,DoR,gpt_4o_mini,grok_3_mini_beta,,,3375
adversarial,ORI,claude_35_haiku,ds_v3,0.5599,0.0000,3375
adversarial,ORI,claude_35_haiku,gpt_41_nano,0.2127,0.0000,3375
adversarial,ORI,claude_35_haiku,gpt_4o_mini,0.2865,0.0000,3375
adversarial,ORI,claude_35_haiku,grok_3_mini_beta,0.1636,0.0000,3375
adversarial,ORI,ds_v3,gpt_41_nano,0.1103,0.0000,3375
adversarial,ORI,ds_v3,gpt_4o_mini,0.3135,0.0000,3375
adversarial,ORI,ds_v3,grok_3_mini_beta,0.2969,0.0000,3375
adversarial,ORI,gpt_41_nano,gpt_4o_mini,0.1552,0.0000,3375
adversarial,ORI,gpt_41_nano,grok_3_mini_beta,-0.0470,0.0005,3375
adversarial,ORI,gpt_4o_mini,grok_3_mini_beta,0.1112,0.0000,3375
cot,DoR,claude_35_haiku,ds_v3,0.6063,0.0000,3375
cot,DoR,claude_35_haiku,gpt_41_nano,0.3782,0.0000,3375
cot,DoR,claude_35_haiku,gpt_4o_mini,0.4683,0.0000,3375
cot,DoR,claude_35_haiku,grok_3_mini_beta,0.4731,0.0000,3375
cot,DoR,ds_v3,gpt_41_nano,0.4185,0.0000,3375
cot,DoR,ds_v3,gpt_4o_mini,0.5498,0.0000,3375
cot,DoR,ds_v3,grok_3_mini_beta,0.4763,0.0000,3375
cot,DoR,gpt_41_nano,gpt_4o_mini,0.3661,0.0000,3375
cot,DoR,gpt_41_nano,grok_3_mini_beta,0.3217,0.0000,3375
cot,DoR,gpt_4o_mini,grok_3_mini_beta,0.4096,0.0000,3375
cot,ORI,claude_35_haiku,ds_v3,0.4687,0.0000,3375
cot,ORI,claude_35_haiku,gpt_41_nano,0.3296,0.0000,3375
cot,ORI,claude_35_haiku,gpt_4o_mini,0.1903,0.0000,3375
cot,ORI,claude_35_haiku,grok_3_mini_beta,0.0607,0.0000,3375
cot,ORI,ds_v3,gpt_41_nano,0.1962,0.0000,3375
cot,ORI,ds_v3,gpt_4o_mini,0.2770,0.0000,3375
cot,ORI,ds_v3,grok_3_mini_beta,0.2172,0.0000,3375
cot,ORI,gpt_41_nano,gpt_4o_mini,0.1353,0.0000,3375
cot,ORI,gpt_41_nano,grok_3_mini_beta,-0.0288,0.0325,3375
cot,ORI,gpt_4o_mini,grok_3_mini_beta,0.1521,0.0000,3375
naive,DoR,claude_35_haiku,ds_v3,0.6395,0.0000,3375
naive,DoR,claude_35_haiku,gpt_41_nano,0.3567,0.0000,3375
naive,DoR,claude_35_haiku,gpt_4o_mini,,,3375
naive,DoR,claude_35_haiku,grok_3_mini_beta,0.5186,0.0000,3375
naive,DoR,ds_v3,gpt_41_nano,0.3739,0.0000,3375
naive,DoR,ds_v3,gpt_4o_mini,,,3375
naive,DoR,ds_v3,grok_3_mini_beta,0.5191,0.0000,3375
naive,DoR,gpt_41_nano,gpt_4o_mini,,,3375
naive,DoR,gpt_41_nano,grok_3_mini_beta,0.2747,0.0000,3375
naive,DoR,gpt_4o_mini,grok_3_mini_beta,,,3375
naive,ORI,claude_35_haiku,ds_v3,0.4722,0.0000,3375
naive,ORI,claude_35_haiku,gpt_41_nano,,,3375
naive,ORI,claude_35_haiku,gpt_4o_mini,0.2567,0.0000,3375
naive,ORI,claude_35_haiku,grok_3_mini_beta,0.3054,0.0000,3375
naive,ORI,ds_v3,gpt_41_nano,,,3375
naive,ORI,ds_v3,gpt_4o_mini,0.2657,0.0000,3375
naive,ORI,ds_v3,grok_3_mini_beta,0.3291,0.0000,3375
naive,ORI,gpt_41_nano,gpt_4o_mini,,,3375
naive,ORI,gpt_41_nano,grok_3_mini_beta,,,3375
naive,ORI,gpt_4o_mini,grok_3_mini_beta,0.1859,0.0000,3375
