Criterion,Model,Mean,Std,Median,Min,Max,Coefficient of Variation
Depth of Reasoning,3.5-haiku,7.712200000000001,1.4364672067513913,8.5,3.5,9.5,0.186259070920281
Depth of Reasoning,ds-v3,7.502,1.8865614828191828,8.0,3.0,9.5,0.2514744711835754
Depth of Reasoning,4.1-nano,7.982399999999999,1.8238484274117586,8.5,2.0,9.5,0.22848371760520128
Depth of Reasoning,4o-mini,8.325,0.9013878188659973,8.5,3.0,9.5,0.10827481307699668
Depth of Reasoning,grok-3-mini,8.069,1.3569899939525623,8.5,2.0,10.0,0.16817325492038196
Depth of Reasoning,Median across models,7.969399999999999,1.1861946532972665,8.5,4.0,9.5,0.1488436586565195
Originality,3.5-haiku,6.6672,1.5111755235332036,7.5,2.5,8.5,0.2266581958743106
Originality,ds-v3,5.925,1.6689655154566756,6.5,2.0,8.5,0.28168194353699166
Originality,4.1-nano,3.9024,2.105254957688913,3.5,1.0,9.2,0.5394769776775608
Originality,4o-mini,6.414,1.1256723664339932,6.5,3.0,8.5,0.17550239576457644
Originality,grok-3-mini,6.467,1.2875272629757444,6.0,2.0,9.0,0.19909189159977492
Originality,Median across models,6.1616,1.2858897561338063,6.5,2.5,8.5,0.20869413076697713
